fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230901 000546	-0.318136256236593	3573	1783	20	5	5	82245800	100
20230901 000855	-0.260070078479297	607	286	8	5	5	97018600	101
20230901 001028	-0.666351887154215	7997	3997	3	5	5	68906600	102
20230901 001201	-0.221440655559904	5656	810	3	5	5	68467000	103
20230901 001618	-0.451745315270826	3958	289	20	5	5	83664000	104
20230901 001909	-0.889968462117317	657	282	7	5	5	98688800	105
20230901 002154	-0.902160763777551	644	320	7	5	5	97822200	106
20230901 002624	-0.884657257821967	1303	259	16	5	5	95204200	107
20230901 002900	-0.216885495047344	5149	2571	7	5	5	79976400	108
20230901 003215	-0.731585427262585	8000	9	11	5	5	63961800	109
20230901 003503	-0.882940059323807	731	242	7	5	5	97501600	110
20230901 003817	-0.440420935285547	4561	1287	20	5	5	82194000	111
20230901 004202	-0.298504514300735	668	328	11	5	5	95914000	112
20230901 004451	-0.539789852820778	641	281	7	5	5	98679000	113
20230901 004741	-0.533275117447612	656	263	7	5	5	97993000	114
20230901 004913	-0.999071249273272	7999	2787	3	5	5	65090200	115
20230901 005218	-0.998889408092219	3546	1771	20	5	5	82245800	116
20230901 005507	-0.958026949272256	587	281	7	5	5	98333200	117
20230901 005812	-0.552016488182676	4177	1807	14	5	5	81946200	118
20230901 005945	-0.823821070013558	3356	1678	3	5	5	73796800	119
20230901 010421	-0.457993076459235	1113	281	20	5	5	95449200	120
20230901 010708	-0.997924707671861	6840	3413	20	5	5	68971000	121
20230901 010841	0.0172015951321913	7997	3998	3	5	5	0	122
20230901 011122	-0.999058762562659	1685	1	7	5	5	92867600	123
20230901 011421	-0.480485244888294	8000	3474	20	5	5	67897200	124
20230901 011710	-0.279948875374166	961	478	7	5	5	95663400	125
20230901 011844	-0.999874002509971	6669	3334	3	5	5	68467000	126
20230901 012251	-0.447115021152657	984	489	18	5	5	96623800	127
20230901 012715	-0.891632111801245	2046	276	18	5	5	91967400	128
20230901 012940	-0.791533811240048	7307	3642	7	5	5	69048000	129
20230901 013344	-0.314513188749621	1080	539	20	5	5	94022600	130
20230901 013628	-0.287549066819751	2124	278	7	5	5	92509200	131
20230901 013918	-0.810309804235938	566	282	7	5	5	98313600	132
20230901 014222	-0.28176359583828	4554	2275	15	5	5	81711000	133
20230901 014644	-0.722165366105941	966	290	18	5	5	96807200	134
20230901 015132	-0.99797804613383	8000	4	20	5	5	63515200	135
20230901 015637	-0.175699848868656	7963	1	20	5	5	63817600	136
20230901 015931	-0.282625493792777	596	288	7	5	5	98316400	137
20230901 020156	-0.224939845720265	4257	2	6	5	5	84471800	138
20230901 020426	-0.546710520993029	588	286	6	5	5	93896600	139
20230901 020718	-0.232358309366053	624	309	7	5	5	97888000	140
20230901 021141	-0.353361545212449	922	313	18	5	5	95844000	141
20230901 021552	-0.720683283083583	934	467	16	5	5	95095000	142
20230901 022011	-0.45236921723521	1595	304	19	5	5	94816400	143
20230901 022430	-0.715791755733072	2978	268	20	5	5	87739400	144
20230901 022717	-0.458486823468518	1794	285	7	5	5	93825200	145
20230901 022959	-0.999000475064241	2656	1328	7	5	5	82152000	146
20230901 023335	-0.952926534937647	4172	948	20	5	5	84481600	147
20230901 023830	-0.6696833015759	1691	143	20	5	5	93207800	148
20230901 024113	-0.241314209497947	2155	1077	7	5	5	84233800	149
20230901 024514	-0.999705298909784	1163	581	20	5	5	92838200	150
20230901 024945	-0.386938832011289	2492	252	20	5	5	89216400	151
20230901 025249	-0.702805598403329	5154	1588	20	5	5	79338000	152
20230901 025710	-0.247988581683442	664	329	15	5	5	94886400	153
20230901 030042	-0.644063767591468	3720	160	11	5	5	84085400	154
20230901 030218	-0.879051137505837	5001	280	3	5	5	72578800	155
20230901 030441	-0.561976134876226	6913	2	6	5	5	65970800	156
20230901 030727	-0.443455532796388	631	311	7	5	5	98120400	157
20230901 031011	-0.205433353672705	6695	3347	20	5	5	70373800	158
20230901 031240	-0.233600040340613	3986	1992	6	5	5	82234600	159
20230901 031524	-0.232349898348141	7998	2923	17	5	5	65090200	160
20230901 031813	-0.65495964963028	632	287	7	5	5	98315000	161
20230901 032056	-0.935833365602728	8000	3283	14	5	5	67006800	162
20230901 032345	-0.837395939336064	628	285	7	5	5	98383600	163
20230901 032628	-0.635097320480242	1513	133	7	5	5	95855200	164
20230901 032852	-0.296126538186494	8000	2411	7	5	5	65112600	165
20230901 033142	-0.262807416301796	635	297	7	5	5	98173600	166
20230901 033557	-0.477112167293196	789	392	18	5	5	95233600	167
20230901 033833	-0.788604661172476	5144	2568	7	5	5	79933000	168
20230901 034230	-0.799824523366828	661	281	12	5	5	95685800	169
20230901 034402	-0.999201310278474	8000	918	3	5	5	65301600	170
20230901 034651	-0.346069653591741	648	287	7	5	5	98487200	171
20230901 034950	-0.997068895956858	4745	2370	12	5	5	81186000	172
20230901 035236	-0.238991661276353	626	186	7	5	5	95429600	173
20230901 035520	-0.816933134135705	2321	11	7	5	5	91911400	174
20230901 035744	-0.333363432210056	3381	3	6	5	5	86287600	175
20230901 040239	-0.219826376239961	4614	29	20	5	5	79917600	176
20230901 040540	-0.180297180524503	4287	2143	20	5	5	82520200	177
20230901 040953	-0.960080321793857	647	298	14	5	5	94424400	178
20230901 041143	-0.33884253525432	2456	1	4	5	5	80805200	179
20230901 041457	-0.214243831431221	7998	960	20	5	5	64892800	180
20230901 041744	-0.776145647474681	1875	937	7	5	5	85874600	181
20230901 042026	-0.993402566030465	1306	651	7	5	5	92561000	182
20230901 042348	-0.284698181789431	2757	1374	15	5	5	82405400	183
20230901 042522	-0.999962954759364	4331	1122	3	5	5	73796800	184
20230901 042739	-0.211162902512209	8000	1298	6	5	5	65060800	185
20230901 043028	-0.191214033814219	633	315	7	5	5	97910400	186
20230901 043311	-0.650990658726019	7614	3806	17	5	5	68982200	187
20230901 043720	-0.999665894137635	1000	435	18	5	5	96870200	188
20230901 044145	-0.91877126793668	1020	282	17	5	5	96678400	189
20230901 044421	-0.602561734110947	4428	2207	7	5	5	82269600	190
20230901 044557	-0.173892111473854	2980	1486	3	5	5	73796800	191
20230901 044804	-0.186977604378221	5690	2104	5	5	5	73750600	192
20230901 045105	-0.999325589927558	5222	2061	18	5	5	77294000	193
20230901 045334	-0.99982057586488	5730	2864	7	5	5	73225600	194
20230901 045541	-0.603329663010215	7996	3345	5	5	5	67222400	195
20230901 045904	-0.823677585818981	7998	821	20	5	5	64892800	196
20230901 050327	-0.191524725075199	690	341	20	5	5	95027800	197
20230901 050739	-0.211101755327919	988	441	20	5	5	96933200	198
20230901 051207	-0.208208958057434	1461	275	18	5	5	94934000	199
20230901 051555	-0.414078841453741	1700	818	20	5	5	88064200	200
20230901 051907	-0.201895331025262	3339	1667	11	5	5	82556600	201
20230901 052112	-0.999551565989855	5213	1804	5	5	5	77425600	202
20230901 052411	-0.337327301844906	4689	2035	12	5	5	80854200	203
20230901 052659	-0.2115753476863	7997	2135	20	5	5	65133600	204
20230901 052958	-0.539029996548861	4783	2384	20	5	5	80731000	205
20230901 053433	-0.770293836555744	1087	280	19	5	5	95771200	206
20230901 053704	-0.999881956570216	7995	1996	7	5	5	65177000	207
20230901 053941	-0.239544873604229	8000	3655	12	5	5	67915400	208
20230901 054328	-0.195257804208296	6338	490	20	5	5	68511800	209
20230901 054645	-0.665214658973813	3836	1390	18	5	5	83003200	210
20230901 054952	-0.200396385535256	7567	742	11	5	5	65529800	211
20230901 055236	-0.205939880032404	1614	194	7	5	5	94442600	212
20230901 055657	-0.675708361380283	1450	279	17	5	5	95102000	213
20230901 055948	-0.934088868505181	626	281	7	5	5	98414400	214
20230901 060345	-0.199531549785672	657	291	12	5	5	95398800	215
20230901 060634	-0.982746110614007	631	280	7	5	5	98341600	216
20230901 060921	-0.94773282132567	661	281	7	5	5	98555800	217
20230901 061208	-0.952474363622334	933	277	7	5	5	97595400	218
20230901 061456	-0.956685886341051	1096	172	7	5	5	95410000	219
20230901 061907	-0.206369491427741	934	465	18	5	5	94977400	220
20230901 062043	-0.999729182276573	4889	2444	3	5	5	73136000	221
20230901 062247	-0.390418130034859	7525	3762	5	5	5	68763800	222
20230901 062710	-0.243963854882842	1114	369	20	5	5	94540600	223
20230901 063001	-0.545549558831934	659	299	7	5	5	97888000	224
20230901 063254	-0.205644687065372	5977	2574	13	5	5	71243200	225
20230901 063540	-0.37207419402191	618	279	7	5	5	97939800	226
20230901 064135	-0.19965245400626	1545	3	20	5	5	87761800	227
20230901 064447	-0.2002873279696	4183	1264	11	5	5	84205800	228
20230901 064735	-0.435417790027498	552	249	7	5	5	97378400	229
20230901 065155	-0.758309805863461	959	281	15	5	5	96558000	230
20230901 065632	-0.993222512903587	1496	206	18	5	5	94137400	231
20230901 070048	-0.690864998589404	975	478	19	5	5	95243400	232
20230901 070344	-0.810736147003795	6102	3047	20	5	5	71076600	233
20230901 070520	-0.91949884998091	7999	3776	3	5	5	68320000	234
20230901 070833	-0.199159920209192	4148	1488	20	5	5	82913600	235
20230901 071308	-0.943988347984703	1023	282	18	5	5	96678400	236
20230901 071634	-0.999566029182709	5536	778	20	5	5	75852000	237
20230901 071939	-0.887495269941687	4510	1871	10	5	5	81802000	238
20230901 072327	-0.649293342608604	622	281	11	5	5	96355000	239
20230901 072612	-0.327193735489865	960	281	7	5	5	97952400	240
20230901 072858	-0.334300435997583	1492	202	7	5	5	95443600	241
20230901 073150	-0.169403697602025	620	281	7	5	5	98302400	242
20230901 073325	0.0997319719255622	7983	3789	20	5	5	0	243
20230901 073743	-0.171999528149576	1021	280	15	5	5	96394200	244
20230901 074021	-0.146996179824886	4861	1412	7	5	5	81083800	245
20230901 074313	-0.802085445919682	625	280	7	5	5	98249200	246
20230901 074559	-0.633682733176627	613	280	7	5	5	98021000	247
20230901 074847	-0.666631576092587	604	276	7	5	5	98163800	248
20230901 075134	-0.48227043087606	652	282	7	5	5	98688800	249
20230901 075421	-0.583296991353126	637	277	7	5	5	98338800	250
20230901 075712	-0.467243360552867	595	292	7	5	5	98253400	251
20230901 080002	-0.819167380996229	612	280	7	5	5	98021000	252
20230901 080521	-0.65583763588577	4739	1	20	5	5	79854600	253
20230901 080948	-0.325961664495576	987	280	16	5	5	96565000	254
20230901 081427	-0.161059967855846	1037	283	20	5	5	96622400	255
20230901 081710	-0.569198282879344	1683	6	7	5	5	92103200	256
20230901 081957	-0.20457425213212	981	280	7	5	5	97830600	257
20230901 082259	-0.885567848473175	4837	2418	17	5	5	80579800	258
20230901 082434	-0.650977914074641	5790	2895	3	5	5	68093200	259
20230901 082726	-0.215456146481229	608	278	7	5	5	97981800	260
20230901 083202	-0.18541217538052	1050	284	19	5	5	96152000	261
20230901 083452	-0.153045892560392	645	291	7	5	5	98473200	262
20230901 083744	-0.142359735441074	644	286	7	5	5	98553000	263
20230901 084115	-0.142461001319846	967	284	10	5	5	96916400	264
20230901 084412	-0.116987143033463	4664	2331	10	5	5	81166400	265
20230901 084545	-0.123054622635598	7997	2576	3	5	5	65090200	266
20230901 084911	-0.141712496355394	2428	1213	20	5	5	82245800	267
20230901 085155	-0.144554143146174	920	284	7	5	5	97666800	268
20230901 085402	-0.855924887509757	4741	1428	5	5	5	81536000	269
20230901 085726	-0.137231435729462	618	284	9	5	5	96609800	270
20230901 090013	-0.136176195304946	1438	717	7	5	5	91875000	271
20230901 090318	-0.137269102253728	4302	1841	15	5	5	81405800	272
20230901 090722	-0.198293280450804	3734	128	15	5	5	83787200	273
20230901 090943	-0.128796184917583	6180	3083	6	5	5	70159600	274
20230901 091303	-0.143353576609842	5262	1107	17	5	5	77975800	275
20230901 091551	-0.129951709975804	656	289	7	5	5	98631400	276
20230901 091839	-0.124902893301862	627	283	7	5	5	98385000	277
20230901 092122	-0.405784212688238	988	271	7	5	5	97872600	278
20230901 092256	-0.776088297665517	8000	2119	3	5	5	65301600	279
20230901 092541	-0.655370745966592	2191	93	7	5	5	92902600	280
20230901 092830	-0.83948744675765	611	277	7	5	5	98170800	281
20230901 093258	-0.808477503370095	1016	281	17	5	5	96682600	282
20230901 093718	-0.129032829689457	992	440	20	5	5	96821200	283
20230901 094008	-0.132704731720156	717	342	7	5	5	96857600	284
20230901 094259	-0.833499860948375	1001	492	7	5	5	96626600	285
20230901 094550	-0.774479225937308	571	283	7	5	5	98249200	286
20230901 094856	-0.600015057354483	8000	1310	13	5	5	65060800	287
20230901 095303	-0.973493976058094	990	478	17	5	5	95292400	288
